id,terrestrial_date,sol,ls,month,min_temp,pressure,average_temp,average_pressure
2,2012-08-16,6,155,6,-75.0,739.0,-75.29931972789116,745.0544217687075
13,2012-08-17,6,156,6,-76.0,740.0,-75.29931972789116,745.0544217687075
24,2012-08-18,6,156,6,-76.0,741.0,-75.29931972789116,745.0544217687075
35,2012-08-19,6,157,6,-74.0,732.0,-75.29931972789116,745.0544217687075
46,2012-08-20,6,157,6,-74.0,740.0,-75.29931972789116,745.0544217687075
57,2012-08-21,6,158,6,-78.0,740.0,-75.29931972789116,745.0544217687075
68,2012-08-22,6,158,6,-77.0,740.0,-75.29931972789116,745.0544217687075
79,2012-08-23,6,159,6,-76.0,742.0,-75.29931972789116,745.0544217687075
112,2012-08-27,6,161,6,-74.0,741.0,-75.29931972789116,745.0544217687075
114,2012-08-28,6,162,6,-74.0,742.0,-75.29931972789116,745.0544217687075
123,2012-08-29,6,162,6,-75.0,741.0,-75.29931972789116,745.0544217687075
134,2012-08-30,6,163,6,-75.0,742.0,-75.29931972789116,745.0544217687075
145,2012-08-31,6,163,6,-75.0,743.0,-75.29931972789116,745.0544217687075
156,2012-09-01,6,164,6,-76.0,745.0,-75.29931972789116,745.0544217687075
163,2012-09-02,6,164,6,-75.0,743.0,-75.29931972789116,745.0544217687075
170,2012-09-03,6,165,6,-75.0,745.0,-75.29931972789116,745.0544217687075
171,2012-09-04,6,166,6,-75.0,747.0,-75.29931972789116,745.0544217687075
172,2012-09-05,6,166,6,-74.0,747.0,-75.29931972789116,745.0544217687075
173,2012-09-06,6,167,6,-74.0,745.0,-75.29931972789116,745.0544217687075
175,2012-09-08,6,168,6,-73.0,748.0,-75.29931972789116,745.0544217687075
176,2012-09-10,6,168,6,-73.0,748.0,-75.29931972789116,745.0544217687075
177,2012-09-11,6,169,6,-73.0,749.0,-75.29931972789116,745.0544217687075
178,2012-09-12,6,169,6,-73.0,750.0,-75.29931972789116,745.0544217687075
179,2012-09-13,6,170,6,-73.0,750.0,-75.29931972789116,745.0544217687075
180,2012-09-14,6,171,6,-73.0,750.0,-75.29931972789116,745.0544217687075
